_date,total_views,unique_views
2021-06-16,1,1
2021-06-17,18,9
2021-06-18,26,14
2021-06-19,18,3
2021-06-20,6,2
2021-06-21,63,9
2021-06-22,76,12
2021-06-23,103,8
2021-06-24,226,18
2021-06-25,185,9
2021-06-26,70,7
2021-06-27,15,2
2021-06-28,46,8
2021-06-29,67,14
2021-06-30,104,21
2021-07-01,64,11
2021-07-02,102,13
2021-07-03,3,2
2021-07-05,28,9
2021-07-06,67,8
2021-07-07,149,17
2021-07-08,49,16
2021-07-09,137,14
2021-07-10,3,2
2021-07-11,9,2
2021-07-12,40,12
2021-07-13,63,11
2021-07-14,142,14
2021-07-15,257,10
2021-07-16,165,11
2021-07-17,6,3
2021-07-18,6,2
2021-07-19,175,12
2021-07-20,206,24
2021-07-21,81,21
2021-07-22,84,21
2021-07-23,82,9
2021-07-24,21,4
2021-07-25,11,1
2021-07-26,66,10
2021-07-27,46,14
2021-07-28,78,12
2021-07-29,47,10
2021-07-30,77,24
2021-07-31,1,1
2021-08-01,5,2
2021-08-02,37,6
2021-08-03,27,10
2021-08-04,24,6
2021-08-05,57,10
2021-08-06,93,9
2021-08-07,1,1
2021-08-09,89,6
2021-08-10,97,13
2021-08-11,53,7
2021-08-12,25,4
2021-08-13,38,7
2021-08-14,1,1
2021-08-15,4,1
2021-08-16,42,7
2021-08-17,46,13
2021-08-18,32,9
2021-08-19,28,13
2021-08-20,6,4
2021-08-21,6,2
2021-08-22,4,2
2021-08-23,14,8
2021-08-24,54,9
2021-08-25,74,10
2021-08-26,140,14
2021-08-27,21,6
2021-08-28,46,5
2021-08-29,5,2
2021-08-30,11,6
2021-08-31,36,5
2021-09-01,19,8
2021-09-02,15,5
2021-09-03,35,6
2021-09-06,4,2
2021-09-07,26,8
2021-09-08,131,9
2021-09-09,70,7
2021-09-10,7,4
2021-09-13,5,5
2021-09-14,10,5
2021-09-15,35,3
2021-09-16,50,6
2021-09-17,50,6
2021-09-18,8,1
2021-09-19,9,1
2021-09-20,3,1
2021-09-21,15,5
2021-09-22,47,5
2021-09-23,18,9
2021-09-24,34,6
2021-09-25,21,5
2021-09-26,3,2
2021-09-27,17,5
2021-09-28,39,7
2021-09-29,23,6
2021-09-30,98,14
2021-10-01,49,10
2021-10-02,26,1
2021-10-03,36,6
2021-10-04,8,4
2021-10-27,111,17
2021-10-28,49,9
2021-10-29,56,13
2021-10-30,10,3
2021-11-01,62,6
2021-11-02,51,9
2021-11-03,31,15
2021-11-04,9,6
2021-11-05,20,5
2021-11-07,1,1
2021-11-08,7,5
2021-11-09,87,9
2021-11-10,124,13
2021-11-11,49,13
2021-11-12,49,9
2021-11-13,1,1
2021-11-14,2,1
